ablation,seed,n,success,success_ci95,success_probability,utility,utility_ci95,side_effect_recall,side_effect_recall_ci95,side_effect_violation,side_effect_violation_ci95,damage_rate,damage_rate_ci95,false_alarm,query_cost,preference_regret,human_acceptance,delayed_effect_miss,label_disagreement_loss
full_causal_side_effect_model,0,80,0.623177,0.011593,0.631478,0.682017,0.009674,0.587362,0.002293,0.034622,0.002148,0.042887,0.001931,0.077021,0.208939,0.066479,0.71441,0.05681,0.08209
full_causal_side_effect_model,1,80,0.624609,0.010466,0.62929,0.683401,0.008759,0.587212,0.002132,0.035214,0.002287,0.04154,0.002032,0.07656,0.208939,0.066575,0.713985,0.056092,0.081651
full_causal_side_effect_model,2,80,0.636719,0.011743,0.629664,0.69319,0.009803,0.58751,0.002024,0.03442,0.002045,0.041842,0.002152,0.076539,0.208939,0.066407,0.713384,0.056667,0.08187
full_causal_side_effect_model,3,80,0.625781,0.008783,0.630858,0.68483,0.007234,0.587955,0.002336,0.034396,0.002257,0.041912,0.00212,0.076148,0.208939,0.065854,0.715056,0.056077,0.082418
full_causal_side_effect_model,4,80,0.630469,0.010381,0.631494,0.688272,0.008811,0.587791,0.00208,0.034613,0.002026,0.041728,0.002099,0.076813,0.208939,0.066308,0.714595,0.057033,0.082251
full_causal_side_effect_model,5,80,0.631641,0.010683,0.629801,0.688425,0.008979,0.586501,0.002124,0.034728,0.002209,0.04253,0.002187,0.077698,0.208939,0.066975,0.712897,0.056132,0.082123
full_causal_side_effect_model,6,80,0.619141,0.011205,0.63109,0.679249,0.009337,0.58784,0.001858,0.033928,0.002231,0.042547,0.002139,0.07731,0.208939,0.066197,0.714522,0.056263,0.082136
full_causal_side_effect_model,7,80,0.627344,0.011034,0.631408,0.686927,0.009448,0.590224,0.002234,0.033994,0.002204,0.040747,0.002252,0.076766,0.208939,0.065923,0.716001,0.056696,0.082305
full_causal_side_effect_model,8,80,0.626563,0.010228,0.630107,0.685339,0.008524,0.588887,0.002135,0.035246,0.002242,0.041174,0.001848,0.077085,0.208939,0.066459,0.715463,0.057382,0.082089
full_causal_side_effect_model,9,80,0.642448,0.012056,0.630529,0.697111,0.009949,0.586806,0.002092,0.035987,0.00229,0.042176,0.00196,0.076643,0.208939,0.066635,0.71417,0.056936,0.081716
minus_side_effect_taxonomy,0,80,0.585286,0.012769,0.576575,0.596587,0.010927,0.439633,0.001983,0.072412,0.004601,0.050893,0.002925,0.085307,0.203385,0.078773,0.661932,0.106243,0.092752
minus_side_effect_taxonomy,1,80,0.583333,0.011903,0.574621,0.595269,0.010477,0.4379,0.002185,0.072002,0.004353,0.050497,0.002837,0.084239,0.203385,0.07717,0.66277,0.106251,0.093823
minus_side_effect_taxonomy,2,80,0.56862,0.012159,0.574267,0.58332,0.010862,0.437421,0.001956,0.071014,0.004544,0.051353,0.002886,0.084384,0.203385,0.077957,0.661847,0.106108,0.093261
minus_side_effect_taxonomy,3,80,0.575,0.010709,0.575586,0.588151,0.009247,0.437665,0.002362,0.07153,0.004417,0.051359,0.002926,0.085071,0.203385,0.078865,0.661968,0.106241,0.092852
minus_side_effect_taxonomy,4,80,0.576693,0.011492,0.575479,0.589922,0.010453,0.437744,0.00196,0.071489,0.00456,0.051081,0.002904,0.084327,0.203385,0.07799,0.663001,0.105643,0.093491
minus_side_effect_taxonomy,5,80,0.57487,0.010701,0.574794,0.588312,0.009243,0.440437,0.002238,0.072382,0.00461,0.051344,0.003009,0.085022,0.203385,0.078439,0.661776,0.105861,0.09349
minus_side_effect_taxonomy,6,80,0.569271,0.011347,0.574509,0.583524,0.010268,0.437276,0.001882,0.071761,0.004479,0.050765,0.002725,0.084612,0.203385,0.078147,0.661618,0.106744,0.094055
minus_side_effect_taxonomy,7,80,0.56849,0.011773,0.574571,0.58289,0.010226,0.436993,0.00224,0.071226,0.00466,0.051264,0.002963,0.085154,0.203385,0.078571,0.662042,0.106141,0.093835
minus_side_effect_taxonomy,8,80,0.57526,0.012029,0.574974,0.588823,0.01058,0.438149,0.002471,0.071764,0.004702,0.050496,0.002892,0.084126,0.203385,0.078268,0.662441,0.105992,0.093304
minus_side_effect_taxonomy,9,80,0.584375,0.010716,0.575698,0.596193,0.009372,0.438814,0.002227,0.071609,0.004628,0.050867,0.003012,0.083988,0.203385,0.078793,0.662718,0.105827,0.093119
minus_counterfactual_pairs,0,80,0.588411,0.011393,0.597323,0.619919,0.009706,0.518292,0.001684,0.054712,0.0032,0.050709,0.002937,0.092513,0.197829,0.0746,0.649157,0.077311,0.099159
minus_counterfactual_pairs,1,80,0.589583,0.01232,0.596143,0.620415,0.010694,0.517766,0.002466,0.054934,0.003395,0.051364,0.002963,0.092337,0.197829,0.075487,0.650184,0.077513,0.10016
minus_counterfactual_pairs,2,80,0.599349,0.012412,0.596819,0.628311,0.010782,0.515992,0.002277,0.054808,0.00335,0.050508,0.002838,0.092389,0.197829,0.074697,0.649585,0.076761,0.099724
minus_counterfactual_pairs,3,80,0.58138,0.010726,0.594414,0.61406,0.009555,0.516191,0.00198,0.054573,0.00324,0.050822,0.002986,0.091159,0.197829,0.075196,0.650118,0.07752,0.099291
minus_counterfactual_pairs,4,80,0.582943,0.012426,0.596868,0.614716,0.01085,0.516067,0.002311,0.055475,0.003058,0.050906,0.002829,0.091885,0.197829,0.075489,0.64939,0.077769,0.099699
minus_counterfactual_pairs,5,80,0.601302,0.012051,0.596488,0.629924,0.010681,0.515992,0.002029,0.054872,0.003159,0.050569,0.002934,0.091976,0.197829,0.074728,0.649763,0.07734,0.098937
minus_counterfactual_pairs,6,80,0.595703,0.011318,0.596014,0.624374,0.01003,0.514088,0.002145,0.055503,0.003189,0.051353,0.002988,0.092174,0.197829,0.075867,0.648862,0.077174,0.099332
minus_counterfactual_pairs,7,80,0.593099,0.012222,0.595808,0.623408,0.010796,0.516997,0.00235,0.054792,0.003335,0.050793,0.002962,0.092036,0.197829,0.074821,0.648992,0.077385,0.098826
minus_counterfactual_pairs,8,80,0.594661,0.012183,0.596315,0.624526,0.010316,0.516777,0.002214,0.055172,0.00313,0.050602,0.003082,0.091946,0.197829,0.075019,0.649282,0.07757,0.099058
minus_counterfactual_pairs,9,80,0.60013,0.011221,0.596141,0.628796,0.009728,0.517276,0.002247,0.055012,0.003272,0.05037,0.002824,0.092612,0.197829,0.075558,0.649149,0.078093,0.10005
minus_labeler_disagreement_weighting,0,80,0.59974,0.013119,0.599488,0.618237,0.011083,0.520833,0.00234,0.050611,0.003115,0.04712,0.002716,0.102499,0.196385,0.078233,0.577882,0.070637,0.139606
minus_labeler_disagreement_weighting,1,80,0.600651,0.011241,0.5998,0.618719,0.009664,0.52397,0.002345,0.050919,0.002969,0.049167,0.002693,0.102815,0.196385,0.078774,0.577492,0.071368,0.139274
minus_labeler_disagreement_weighting,2,80,0.594922,0.011194,0.598979,0.614022,0.009476,0.522193,0.002133,0.051876,0.002994,0.048032,0.002712,0.102411,0.196385,0.078946,0.577939,0.070242,0.13889
minus_labeler_disagreement_weighting,3,80,0.606771,0.012542,0.599565,0.623432,0.010356,0.522054,0.002283,0.05133,0.003051,0.04884,0.002782,0.1019,0.196385,0.078852,0.577753,0.070592,0.139014
minus_labeler_disagreement_weighting,4,80,0.600651,0.013325,0.600298,0.618526,0.011685,0.522624,0.00211,0.051489,0.003072,0.048025,0.002772,0.102659,0.196385,0.079337,0.576953,0.071315,0.13874
minus_labeler_disagreement_weighting,5,80,0.597396,0.012193,0.599244,0.615963,0.010056,0.521378,0.001993,0.050788,0.002911,0.048115,0.002565,0.102552,0.196385,0.078945,0.577381,0.071075,0.139353
minus_labeler_disagreement_weighting,6,80,0.59974,0.01231,0.599147,0.617781,0.010674,0.52121,0.002235,0.051621,0.002948,0.048185,0.002538,0.102663,0.196385,0.078568,0.577769,0.070154,0.138558
minus_labeler_disagreement_weighting,7,80,0.590234,0.011141,0.600057,0.609919,0.009734,0.521553,0.002341,0.052041,0.003122,0.048822,0.002683,0.102294,0.196385,0.078778,0.577848,0.070509,0.138649
minus_labeler_disagreement_weighting,8,80,0.613672,0.012003,0.600253,0.630022,0.010506,0.524195,0.002309,0.05062,0.003073,0.047514,0.002713,0.102876,0.196385,0.078195,0.578601,0.071435,0.138164
minus_labeler_disagreement_weighting,9,80,0.601823,0.011571,0.599654,0.61996,0.009655,0.524345,0.001982,0.05111,0.002953,0.04862,0.002726,0.102118,0.196385,0.079128,0.577752,0.071066,0.138602
minus_delayed_effect_memory,0,80,0.602734,0.012159,0.605346,0.637673,0.010729,0.514627,0.002187,0.047979,0.002697,0.05185,0.003335,0.085438,0.197269,0.073543,0.683057,0.087587,0.088118
minus_delayed_effect_memory,1,80,0.604167,0.010762,0.604454,0.639589,0.009453,0.517977,0.002297,0.046801,0.002817,0.052649,0.003137,0.085878,0.197269,0.07331,0.682733,0.087756,0.087469
minus_delayed_effect_memory,2,80,0.605208,0.010747,0.604411,0.640162,0.009183,0.515297,0.002347,0.046532,0.002727,0.052669,0.003067,0.085378,0.197269,0.072389,0.68271,0.087522,0.08792
minus_delayed_effect_memory,3,80,0.599089,0.011046,0.604053,0.635172,0.009463,0.51727,0.002131,0.047759,0.002663,0.052614,0.003284,0.085002,0.197269,0.073675,0.683165,0.087935,0.087589
minus_delayed_effect_memory,4,80,0.608073,0.011401,0.605831,0.642186,0.010234,0.514567,0.002049,0.046426,0.002669,0.052134,0.003126,0.085257,0.197269,0.073596,0.6822,0.087529,0.088783
minus_delayed_effect_memory,5,80,0.602214,0.012236,0.604469,0.637577,0.010249,0.515238,0.002309,0.046813,0.00266,0.052598,0.003232,0.085162,0.197269,0.07316,0.682872,0.087241,0.08859
minus_delayed_effect_memory,6,80,0.608854,0.01065,0.603903,0.642863,0.009768,0.516927,0.002158,0.047736,0.002762,0.052264,0.003266,0.085478,0.197269,0.073542,0.682587,0.088482,0.087679
minus_delayed_effect_memory,7,80,0.603385,0.011784,0.603603,0.638721,0.009673,0.515078,0.001995,0.047046,0.00271,0.052627,0.003315,0.085175,0.197269,0.072184,0.683996,0.087671,0.087775
minus_delayed_effect_memory,8,80,0.607812,0.01054,0.60446,0.64186,0.009145,0.51465,0.002274,0.047415,0.002677,0.05242,0.003387,0.085321,0.197269,0.072613,0.682088,0.087422,0.08758
minus_delayed_effect_memory,9,80,0.602214,0.010793,0.605013,0.637314,0.009135,0.514274,0.002336,0.046681,0.002755,0.052338,0.003244,0.086243,0.197269,0.073213,0.682504,0.087607,0.08856
minus_benign_change_calibration,0,80,0.598568,0.011813,0.601706,0.626597,0.00963,0.556923,0.00203,0.059659,0.002162,0.045247,0.002272,0.146432,0.202265,0.07563,0.613499,0.06453,0.091059
minus_benign_change_calibration,1,80,0.597005,0.011739,0.602362,0.624963,0.009793,0.557437,0.00199,0.060568,0.002559,0.045687,0.002175,0.147328,0.202265,0.075513,0.613386,0.064917,0.090606
minus_benign_change_calibration,2,80,0.594271,0.010687,0.599591,0.623176,0.008951,0.557604,0.002163,0.059743,0.002494,0.045133,0.002269,0.14716,0.202265,0.075448,0.612576,0.064293,0.090794
minus_benign_change_calibration,3,80,0.604297,0.01139,0.60127,0.631379,0.009683,0.557255,0.002218,0.05972,0.002362,0.045511,0.00242,0.146544,0.202265,0.075912,0.614427,0.063794,0.090054
minus_benign_change_calibration,4,80,0.596615,0.00963,0.603121,0.62515,0.008152,0.55893,0.002097,0.060555,0.00257,0.045089,0.002402,0.147343,0.202265,0.075991,0.614193,0.064991,0.090204
minus_benign_change_calibration,5,80,0.600391,0.012318,0.603039,0.628509,0.010319,0.559719,0.002449,0.061191,0.002601,0.044311,0.002219,0.146506,0.202265,0.075361,0.614168,0.064593,0.090474
minus_benign_change_calibration,6,80,0.598437,0.011416,0.60174,0.62708,0.009731,0.559822,0.0022,0.059907,0.002309,0.045737,0.002529,0.146817,0.202265,0.075185,0.615198,0.065079,0.090259
minus_benign_change_calibration,7,80,0.601562,0.011338,0.60089,0.629435,0.009745,0.559216,0.002115,0.060222,0.002435,0.045261,0.002368,0.14697,0.202265,0.075318,0.614402,0.064175,0.090378
minus_benign_change_calibration,8,80,0.605339,0.013265,0.602539,0.631804,0.011115,0.555377,0.002316,0.059647,0.002578,0.045353,0.002363,0.146751,0.202265,0.075332,0.614089,0.064388,0.090978
minus_benign_change_calibration,9,80,0.604688,0.011616,0.60295,0.631992,0.009704,0.558971,0.002445,0.060253,0.002684,0.044656,0.002497,0.146851,0.202265,0.074939,0.613827,0.0647,0.090357
minus_deployment_risk_budget,0,80,0.598307,0.011946,0.594999,0.645267,0.010241,0.555052,0.002045,0.046285,0.002983,0.050193,0.002975,0.08376,0.196105,0.071637,0.683671,0.065234,0.087514
minus_deployment_risk_budget,1,80,0.600911,0.010586,0.597868,0.64737,0.00923,0.555447,0.00219,0.045761,0.002892,0.050803,0.002926,0.084204,0.196105,0.070893,0.683515,0.065235,0.088453
minus_deployment_risk_budget,2,80,0.59388,0.010473,0.59681,0.64142,0.008974,0.555451,0.002218,0.046687,0.002859,0.050288,0.00285,0.083781,0.196105,0.071368,0.681415,0.065066,0.087611
minus_deployment_risk_budget,3,80,0.59362,0.010777,0.597571,0.641718,0.00914,0.557397,0.002507,0.046419,0.002818,0.050258,0.002949,0.08414,0.196105,0.071194,0.683503,0.066095,0.088505
minus_deployment_risk_budget,4,80,0.602214,0.012041,0.59695,0.647907,0.009765,0.553723,0.002269,0.04681,0.00263,0.051119,0.002842,0.08362,0.196105,0.070407,0.68405,0.065027,0.088354
minus_deployment_risk_budget,5,80,0.607812,0.013449,0.596436,0.652522,0.011553,0.553259,0.002142,0.046349,0.002799,0.050562,0.003039,0.083834,0.196105,0.071268,0.68437,0.064741,0.088243
minus_deployment_risk_budget,6,80,0.581641,0.011007,0.597277,0.631165,0.00963,0.554021,0.001974,0.047966,0.002739,0.050144,0.00288,0.084557,0.196105,0.071339,0.683784,0.065766,0.087449
minus_deployment_risk_budget,7,80,0.603776,0.011905,0.598201,0.649034,0.009807,0.553615,0.002061,0.046749,0.003,0.050643,0.002904,0.083846,0.196105,0.072045,0.684504,0.064966,0.088872
minus_deployment_risk_budget,8,80,0.594271,0.011599,0.598245,0.642272,0.009745,0.55851,0.002519,0.04732,0.002795,0.050726,0.002926,0.083078,0.196105,0.071315,0.683333,0.065603,0.08738
minus_deployment_risk_budget,9,80,0.59401,0.011819,0.596252,0.641223,0.010151,0.555769,0.002103,0.047602,0.002843,0.051097,0.003072,0.083703,0.196105,0.071795,0.682849,0.065062,0.087424
minus_ambiguous_query_selector,0,80,0.602083,0.012409,0.605567,0.642817,0.01039,0.526757,0.002231,0.047555,0.002801,0.048473,0.002627,0.086403,0.16639,0.072745,0.670477,0.068664,0.092778
minus_ambiguous_query_selector,1,80,0.605599,0.010569,0.607749,0.646258,0.008961,0.529162,0.00189,0.046954,0.002645,0.048131,0.002727,0.086199,0.16639,0.072294,0.670279,0.069042,0.093993
minus_ambiguous_query_selector,2,80,0.608073,0.010752,0.606143,0.647534,0.009104,0.525311,0.002137,0.04747,0.002635,0.048188,0.00271,0.0867,0.16639,0.071707,0.671024,0.068157,0.094142
minus_ambiguous_query_selector,3,80,0.607161,0.01126,0.607091,0.64691,0.009327,0.526632,0.002282,0.047184,0.002663,0.048311,0.002624,0.08615,0.16639,0.072455,0.670347,0.0689,0.094132
minus_ambiguous_query_selector,4,80,0.607422,0.010972,0.607374,0.647277,0.009042,0.527754,0.001923,0.047414,0.002836,0.048169,0.002484,0.087113,0.16639,0.071706,0.669569,0.068575,0.093692
minus_ambiguous_query_selector,5,80,0.60612,0.011736,0.606064,0.64644,0.009935,0.527784,0.0021,0.047363,0.002786,0.048126,0.002639,0.08589,0.16639,0.072612,0.670446,0.068768,0.092853
minus_ambiguous_query_selector,6,80,0.610417,0.012553,0.607353,0.650366,0.010673,0.529065,0.002116,0.046873,0.002844,0.047409,0.002639,0.086233,0.16639,0.072146,0.670341,0.068898,0.093819
minus_ambiguous_query_selector,7,80,0.603776,0.011191,0.606575,0.644901,0.009713,0.526776,0.002521,0.046777,0.002729,0.04696,0.002854,0.086857,0.16639,0.071529,0.670384,0.068302,0.093405
minus_ambiguous_query_selector,8,80,0.611068,0.012018,0.606215,0.650622,0.010034,0.527485,0.002138,0.04668,0.002777,0.047835,0.002536,0.086147,0.16639,0.072253,0.670831,0.068776,0.093646
minus_ambiguous_query_selector,9,80,0.620182,0.011111,0.606743,0.657509,0.009551,0.528191,0.002307,0.047623,0.002947,0.047771,0.002697,0.086791,0.16639,0.072423,0.669774,0.068889,0.093961
minus_constraint_aggregator,0,80,0.6,0.012469,0.597225,0.62796,0.010942,0.535327,0.002176,0.06261,0.004271,0.073385,0.004895,0.077811,0.188385,0.077171,0.655938,0.069606,0.09338
minus_constraint_aggregator,1,80,0.590755,0.012414,0.596488,0.62142,0.011287,0.538528,0.002041,0.061802,0.004138,0.073149,0.004867,0.077885,0.188385,0.07741,0.655776,0.069301,0.093531
minus_constraint_aggregator,2,80,0.601302,0.011941,0.598092,0.629958,0.010546,0.539197,0.002087,0.061875,0.004365,0.073162,0.004804,0.077273,0.188385,0.076916,0.655544,0.068861,0.09497
minus_constraint_aggregator,3,80,0.601172,0.010879,0.595483,0.629668,0.009597,0.538091,0.002112,0.062291,0.004265,0.073018,0.004889,0.077659,0.188385,0.077301,0.656668,0.069722,0.093491
minus_constraint_aggregator,4,80,0.60013,0.011828,0.597511,0.628948,0.010778,0.537199,0.002052,0.061336,0.004095,0.072533,0.004949,0.077162,0.188385,0.077254,0.655787,0.069681,0.094522
minus_constraint_aggregator,5,80,0.595443,0.012362,0.596342,0.625246,0.011341,0.537523,0.001999,0.062443,0.004202,0.071704,0.00503,0.077341,0.188385,0.077143,0.656691,0.071088,0.093195
minus_constraint_aggregator,6,80,0.592839,0.011831,0.596798,0.622327,0.010558,0.534523,0.002084,0.061541,0.004128,0.073586,0.004973,0.077952,0.188385,0.076689,0.656029,0.06996,0.094032
minus_constraint_aggregator,7,80,0.596094,0.012639,0.599325,0.625654,0.011256,0.539297,0.002338,0.061661,0.004142,0.073101,0.004822,0.077623,0.188385,0.078059,0.655246,0.069955,0.094015
minus_constraint_aggregator,8,80,0.59974,0.010699,0.597922,0.628669,0.009359,0.536807,0.002145,0.061025,0.004152,0.072824,0.00492,0.077877,0.188385,0.076732,0.655938,0.069633,0.093875
minus_constraint_aggregator,9,80,0.599349,0.011836,0.597675,0.628015,0.010723,0.537304,0.002341,0.062069,0.004323,0.072308,0.004988,0.078135,0.188385,0.077285,0.654836,0.069596,0.093991
old_v4_preference_model,0,80,0.589844,0.010892,0.595261,0.61287,0.009387,0.521072,0.002161,0.051954,0.002988,0.052997,0.003156,0.098066,0.223665,0.076727,0.616596,0.078327,0.117684
old_v4_preference_model,1,80,0.598177,0.010303,0.593855,0.619387,0.00894,0.518463,0.002089,0.050778,0.002894,0.052751,0.003275,0.098546,0.223665,0.077021,0.616199,0.078003,0.117548
old_v4_preference_model,2,80,0.598437,0.011763,0.596307,0.619428,0.010445,0.518402,0.002319,0.051644,0.003108,0.052615,0.003118,0.097791,0.223665,0.077521,0.616725,0.077975,0.117515
old_v4_preference_model,3,80,0.601432,0.011021,0.594612,0.622311,0.009637,0.517762,0.002451,0.051001,0.003093,0.052743,0.003167,0.097327,0.223665,0.076477,0.617564,0.077008,0.116966
old_v4_preference_model,4,80,0.596224,0.010982,0.594549,0.617202,0.009708,0.518126,0.002446,0.051731,0.002874,0.053159,0.003086,0.098113,0.223665,0.078074,0.615838,0.07779,0.117828
old_v4_preference_model,5,80,0.596354,0.011274,0.594447,0.617507,0.009675,0.520944,0.002152,0.053273,0.002802,0.053001,0.00308,0.098663,0.223665,0.077895,0.615966,0.077255,0.116984
old_v4_preference_model,6,80,0.582682,0.011167,0.5944,0.606916,0.009745,0.519093,0.002518,0.05184,0.002961,0.052547,0.003148,0.098417,0.223665,0.076781,0.616778,0.077747,0.118113
old_v4_preference_model,7,80,0.597786,0.011704,0.594951,0.61894,0.010251,0.520345,0.00218,0.052012,0.00324,0.053454,0.003126,0.098139,0.223665,0.077055,0.616024,0.078085,0.11677
old_v4_preference_model,8,80,0.600781,0.010506,0.596246,0.621339,0.009049,0.518583,0.002101,0.051309,0.002786,0.052975,0.003077,0.097452,0.223665,0.07658,0.614827,0.07786,0.117101
old_v4_preference_model,9,80,0.599349,0.012133,0.594959,0.620206,0.010242,0.518909,0.002283,0.05178,0.003158,0.052442,0.003279,0.097415,0.223665,0.077443,0.615889,0.078095,0.117395
