budget,method,n,success,success_ci95,success_probability,utility,utility_ci95,side_effect_recall,side_effect_recall_ci95,side_effect_violation,side_effect_violation_ci95,damage_rate,damage_rate_ci95,false_alarm,query_cost,preference_regret,human_acceptance,delayed_effect_miss,label_disagreement_loss,true_risk,estimated_risk,coverage,risk_breach,deploy_utility,deploy_utility_ci95,regret_to_oracle
0.07,success_only_policy,80.0,0.409687,0.013999,0.408407,0.27345,0.01667,0.105481,0.002212,0.18732,0.01115,0.126327,0.010242,0.094934,0.080889,0.129897,0.236792,0.183919,0.187604,0.264655,0.305521,0.0,0.0,0.077547,0.000564,0.511284
0.07,generic_pairwise_preference_model,80.0,0.467995,0.013761,0.469251,0.369291,0.015079,0.225052,0.002314,0.149854,0.008884,0.107943,0.008467,0.107573,0.196457,0.115054,0.358247,0.154032,0.16278,0.219793,0.249814,0.0,0.0,0.088714,0.00047,0.415443
0.07,reward_model_rlhf_surrogate,80.0,0.490755,0.012963,0.490396,0.401057,0.013907,0.252083,0.002154,0.141233,0.008324,0.103394,0.008056,0.108263,0.206734,0.111111,0.390073,0.147392,0.156201,0.209201,0.236526,0.0,0.0,0.09244,0.000446,0.383677
0.07,uncertainty_query_preference_learner,80.0,0.500495,0.012365,0.500755,0.436994,0.012696,0.336672,0.002159,0.119595,0.007139,0.091424,0.006917,0.104264,0.349837,0.101914,0.470091,0.129734,0.136135,0.181392,0.201194,0.0,0.0,0.097118,0.0004,0.34774
0.07,constraint_aware_planner,80.0,0.511693,0.012292,0.511021,0.460603,0.011684,0.342994,0.002256,0.10454,0.005927,0.072104,0.005011,0.121433,0.273381,0.098873,0.458256,0.124514,0.141735,0.161388,0.176526,0.0,0.0,0.098638,0.000342,0.324131
0.07,failure_prediction_shield,80.0,0.509792,0.01273,0.507838,0.450956,0.012734,0.328807,0.00218,0.113081,0.006648,0.079978,0.005705,0.116022,0.252824,0.101811,0.43874,0.124531,0.145162,0.171372,0.187258,0.0,0.0,0.096923,0.00036,0.333778
0.07,side_effect_classifier_baseline,80.0,0.533633,0.012102,0.533812,0.501884,0.011441,0.400491,0.002215,0.092253,0.00532,0.074253,0.005189,0.113472,0.263377,0.09324,0.499331,0.105412,0.134652,0.148841,0.162235,0.0,0.0,0.104378,0.00032,0.28285
0.07,inverse_reward_design_baseline,80.0,0.52668,0.012003,0.527796,0.489535,0.01169,0.372583,0.002178,0.101765,0.005875,0.079781,0.005707,0.111341,0.240611,0.094738,0.51001,0.116873,0.128939,0.159635,0.176097,0.0,0.0,0.106677,0.000346,0.295199
0.07,conservative_safety_filter,80.0,0.52293,0.011718,0.521056,0.493099,0.010671,0.398859,0.002168,0.085912,0.004634,0.05589,0.003424,0.13996,0.26643,0.09222,0.478147,0.108862,0.144665,0.137648,0.146608,0.0,0.0,0.101502,0.00028,0.291635
0.07,preference_transformer_no_side_effects,80.0,0.526628,0.012135,0.527333,0.481225,0.01199,0.346422,0.002273,0.109127,0.006569,0.087557,0.006534,0.098748,0.253675,0.096792,0.520928,0.125602,0.124116,0.169835,0.187041,0.0,0.0,0.107574,0.000384,0.303509
0.07,human_query_max_uncertainty,80.0,0.530326,0.011736,0.531525,0.504159,0.011258,0.438779,0.002289,0.092737,0.005486,0.077096,0.005479,0.097571,0.438478,0.088974,0.57424,0.108044,0.106924,0.14646,0.15899,0.0,0.0,0.107112,0.000336,0.280575
0.07,physical_affordance_penalty,80.0,0.547422,0.011666,0.545448,0.522699,0.010729,0.407768,0.002158,0.085625,0.004812,0.063147,0.004135,0.120689,0.241984,0.090563,0.513962,0.106781,0.131197,0.138539,0.149133,0.0,0.0,0.107136,0.000287,0.262035
0.07,risk_calibrated_reward_model,80.0,0.563737,0.011941,0.562999,0.56484,0.010744,0.45111,0.002133,0.073005,0.004327,0.061487,0.003947,0.097583,0.240321,0.083166,0.595942,0.094764,0.109401,0.123002,0.126956,0.015,0.00875,0.125254,0.01009,0.219894
0.07,proposed_side_effect_preference_model_v4,80.0,0.594063,0.011198,0.595356,0.616135,0.009772,0.519588,0.00225,0.051318,0.003133,0.052952,0.003203,0.098344,0.223665,0.077212,0.616217,0.077406,0.117519,0.102245,0.105396,0.06375,0.00375,0.15455,0.028259,0.168599
0.07,side_effect_causal_preference_model_v5,80.0,0.632852,0.01117,0.630779,0.690144,0.009357,0.587805,0.002152,0.034638,0.002231,0.041749,0.002046,0.07721,0.208939,0.066515,0.714415,0.056492,0.082043,0.074055,0.067827,0.54,0.25625,0.439078,0.062181,0.09459
0.07,oracle_human_side_effect_judge,80.0,0.710026,0.010308,0.707791,0.784734,0.00837,0.62713,0.00217,0.016849,0.001293,0.029799,0.00114,0.058624,0.194171,0.057352,0.790361,0.042594,0.061974,0.049542,0.036337,1.0,0.0,0.784734,0.00837,0.0
0.08,success_only_policy,80.0,0.409687,0.013999,0.408407,0.27345,0.01667,0.105481,0.002212,0.18732,0.01115,0.126327,0.010242,0.094934,0.080889,0.129897,0.236792,0.183919,0.187604,0.264655,0.305375,0.0,0.0,0.077547,0.000564,0.511284
0.08,generic_pairwise_preference_model,80.0,0.467995,0.013761,0.469251,0.369291,0.015079,0.225052,0.002314,0.149854,0.008884,0.107943,0.008467,0.107573,0.196457,0.115054,0.358247,0.154032,0.16278,0.219793,0.249777,0.0,0.0,0.088714,0.00047,0.415443
0.08,reward_model_rlhf_surrogate,80.0,0.490755,0.012963,0.490396,0.401057,0.013907,0.252083,0.002154,0.141233,0.008324,0.103394,0.008056,0.108263,0.206734,0.111111,0.390073,0.147392,0.156201,0.209201,0.236938,0.0,0.0,0.09244,0.000446,0.383677
0.08,uncertainty_query_preference_learner,80.0,0.500495,0.012365,0.500755,0.436994,0.012696,0.336672,0.002159,0.119595,0.007139,0.091424,0.006917,0.104264,0.349837,0.101914,0.470091,0.129734,0.136135,0.181392,0.201026,0.0,0.0,0.097118,0.0004,0.34774
0.08,constraint_aware_planner,80.0,0.511693,0.012292,0.511021,0.460603,0.011684,0.342994,0.002256,0.10454,0.005927,0.072104,0.005011,0.121433,0.273381,0.098873,0.458256,0.124514,0.141735,0.161388,0.176086,0.0,0.0,0.098638,0.000342,0.324131
0.08,failure_prediction_shield,80.0,0.509792,0.01273,0.507838,0.450956,0.012734,0.328807,0.00218,0.113081,0.006648,0.079978,0.005705,0.116022,0.252824,0.101811,0.43874,0.124531,0.145162,0.171372,0.187083,0.0,0.0,0.096923,0.00036,0.333778
0.08,side_effect_classifier_baseline,80.0,0.533633,0.012102,0.533812,0.501884,0.011441,0.400491,0.002215,0.092253,0.00532,0.074253,0.005189,0.113472,0.263377,0.09324,0.499331,0.105412,0.134652,0.148841,0.162321,0.0,0.0,0.104378,0.00032,0.28285
0.08,inverse_reward_design_baseline,80.0,0.52668,0.012003,0.527796,0.489535,0.01169,0.372583,0.002178,0.101765,0.005875,0.079781,0.005707,0.111341,0.240611,0.094738,0.51001,0.116873,0.128939,0.159635,0.175927,0.0,0.0,0.106677,0.000346,0.295199
0.08,conservative_safety_filter,80.0,0.52293,0.011718,0.521056,0.493099,0.010671,0.398859,0.002168,0.085912,0.004634,0.05589,0.003424,0.13996,0.26643,0.09222,0.478147,0.108862,0.144665,0.137648,0.146968,0.00125,0.00125,0.102041,0.001316,0.291635
0.08,preference_transformer_no_side_effects,80.0,0.526628,0.012135,0.527333,0.481225,0.01199,0.346422,0.002273,0.109127,0.006569,0.087557,0.006534,0.098748,0.253675,0.096792,0.520928,0.125602,0.124116,0.169835,0.187527,0.0,0.0,0.107574,0.000384,0.303509
0.08,human_query_max_uncertainty,80.0,0.530326,0.011736,0.531525,0.504159,0.011258,0.438779,0.002289,0.092737,0.005486,0.077096,0.005479,0.097571,0.438478,0.088974,0.57424,0.108044,0.106924,0.14646,0.158858,0.00125,0.0,0.107704,0.00147,0.280575
0.08,physical_affordance_penalty,80.0,0.547422,0.011666,0.545448,0.522699,0.010729,0.407768,0.002158,0.085625,0.004812,0.063147,0.004135,0.120689,0.241984,0.090563,0.513962,0.106781,0.131197,0.138539,0.149233,0.0,0.0,0.107136,0.000287,0.262035
0.08,risk_calibrated_reward_model,80.0,0.563737,0.011941,0.562999,0.56484,0.010744,0.45111,0.002133,0.073005,0.004327,0.061487,0.003947,0.097583,0.240321,0.083166,0.595942,0.094764,0.109401,0.123002,0.127428,0.06875,0.0,0.152487,0.028231,0.219894
0.08,proposed_side_effect_preference_model_v4,80.0,0.594063,0.011198,0.595356,0.616135,0.009772,0.519588,0.00225,0.051318,0.003133,0.052952,0.003203,0.098344,0.223665,0.077212,0.616217,0.077406,0.117519,0.102245,0.10587,0.12,0.00125,0.184554,0.038076,0.168599
0.08,side_effect_causal_preference_model_v5,80.0,0.632852,0.01117,0.630779,0.690144,0.009357,0.587805,0.002152,0.034638,0.002231,0.041749,0.002046,0.07721,0.208939,0.066515,0.714415,0.056492,0.082043,0.074055,0.067504,0.84,0.18,0.603998,0.045553,0.09459
0.08,oracle_human_side_effect_judge,80.0,0.710026,0.010308,0.707791,0.784734,0.00837,0.62713,0.00217,0.016849,0.001293,0.029799,0.00114,0.058624,0.194171,0.057352,0.790361,0.042594,0.061974,0.049542,0.03628,1.0,0.0,0.784734,0.00837,0.0
0.09,success_only_policy,80.0,0.409687,0.013999,0.408407,0.27345,0.01667,0.105481,0.002212,0.18732,0.01115,0.126327,0.010242,0.094934,0.080889,0.129897,0.236792,0.183919,0.187604,0.264655,0.305236,0.0,0.0,0.077547,0.000564,0.511284
0.09,generic_pairwise_preference_model,80.0,0.467995,0.013761,0.469251,0.369291,0.015079,0.225052,0.002314,0.149854,0.008884,0.107943,0.008467,0.107573,0.196457,0.115054,0.358247,0.154032,0.16278,0.219793,0.249914,0.0,0.0,0.088714,0.00047,0.415443
0.09,reward_model_rlhf_surrogate,80.0,0.490755,0.012963,0.490396,0.401057,0.013907,0.252083,0.002154,0.141233,0.008324,0.103394,0.008056,0.108263,0.206734,0.111111,0.390073,0.147392,0.156201,0.209201,0.236863,0.0,0.0,0.09244,0.000446,0.383677
0.09,uncertainty_query_preference_learner,80.0,0.500495,0.012365,0.500755,0.436994,0.012696,0.336672,0.002159,0.119595,0.007139,0.091424,0.006917,0.104264,0.349837,0.101914,0.470091,0.129734,0.136135,0.181392,0.201118,0.0,0.0,0.097118,0.0004,0.34774
0.09,constraint_aware_planner,80.0,0.511693,0.012292,0.511021,0.460603,0.011684,0.342994,0.002256,0.10454,0.005927,0.072104,0.005011,0.121433,0.273381,0.098873,0.458256,0.124514,0.141735,0.161388,0.176236,0.00125,0.0,0.099162,0.001343,0.324131
0.09,failure_prediction_shield,80.0,0.509792,0.01273,0.507838,0.450956,0.012734,0.328807,0.00218,0.113081,0.006648,0.079978,0.005705,0.116022,0.252824,0.101811,0.43874,0.124531,0.145162,0.171372,0.187199,0.0,0.0,0.096923,0.00036,0.333778
0.09,side_effect_classifier_baseline,80.0,0.533633,0.012102,0.533812,0.501884,0.011441,0.400491,0.002215,0.092253,0.00532,0.074253,0.005189,0.113472,0.263377,0.09324,0.499331,0.105412,0.134652,0.148841,0.161705,0.01125,0.00125,0.109692,0.008497,0.28285
0.09,inverse_reward_design_baseline,80.0,0.52668,0.012003,0.527796,0.489535,0.01169,0.372583,0.002178,0.101765,0.005875,0.079781,0.005707,0.111341,0.240611,0.094738,0.51001,0.116873,0.128939,0.159635,0.176026,0.0,0.0,0.106677,0.000346,0.295199
0.09,conservative_safety_filter,80.0,0.52293,0.011718,0.521056,0.493099,0.010671,0.398859,0.002168,0.085912,0.004634,0.05589,0.003424,0.13996,0.26643,0.09222,0.478147,0.108862,0.144665,0.137648,0.14691,0.015,0.0025,0.108402,0.010931,0.291635
0.09,preference_transformer_no_side_effects,80.0,0.526628,0.012135,0.527333,0.481225,0.01199,0.346422,0.002273,0.109127,0.006569,0.087557,0.006534,0.098748,0.253675,0.096792,0.520928,0.125602,0.124116,0.169835,0.186986,0.0,0.0,0.107574,0.000384,0.303509
0.09,human_query_max_uncertainty,80.0,0.530326,0.011736,0.531525,0.504159,0.011258,0.438779,0.002289,0.092737,0.005486,0.077096,0.005479,0.097571,0.438478,0.088974,0.57424,0.108044,0.106924,0.14646,0.158454,0.04,0.0,0.126055,0.019828,0.280575
0.09,physical_affordance_penalty,80.0,0.547422,0.011666,0.545448,0.522699,0.010729,0.407768,0.002158,0.085625,0.004812,0.063147,0.004135,0.120689,0.241984,0.090563,0.513962,0.106781,0.131197,0.138539,0.148912,0.02625,0.0,0.119633,0.016691,0.262035
0.09,risk_calibrated_reward_model,80.0,0.563737,0.011941,0.562999,0.56484,0.010744,0.45111,0.002133,0.073005,0.004327,0.061487,0.003947,0.097583,0.240321,0.083166,0.595942,0.094764,0.109401,0.123002,0.127439,0.1175,0.00125,0.17684,0.035934,0.219894
0.09,proposed_side_effect_preference_model_v4,80.0,0.594063,0.011198,0.595356,0.616135,0.009772,0.519588,0.00225,0.051318,0.003133,0.052952,0.003203,0.098344,0.223665,0.077212,0.616217,0.077406,0.117519,0.102245,0.10578,0.17,0.02375,0.21025,0.043563,0.168599
0.09,side_effect_causal_preference_model_v5,80.0,0.632852,0.01117,0.630779,0.690144,0.009357,0.587805,0.002152,0.034638,0.002231,0.041749,0.002046,0.07721,0.208939,0.066515,0.714415,0.056492,0.082043,0.074055,0.067588,0.96625,0.035,0.671844,0.023709,0.09459
0.09,oracle_human_side_effect_judge,80.0,0.710026,0.010308,0.707791,0.784734,0.00837,0.62713,0.00217,0.016849,0.001293,0.029799,0.00114,0.058624,0.194171,0.057352,0.790361,0.042594,0.061974,0.049542,0.036576,1.0,0.0,0.784734,0.00837,0.0
0.1,success_only_policy,80.0,0.409687,0.013999,0.408407,0.27345,0.01667,0.105481,0.002212,0.18732,0.01115,0.126327,0.010242,0.094934,0.080889,0.129897,0.236792,0.183919,0.187604,0.264655,0.305113,0.0,0.0,0.077547,0.000564,0.511284
0.1,generic_pairwise_preference_model,80.0,0.467995,0.013761,0.469251,0.369291,0.015079,0.225052,0.002314,0.149854,0.008884,0.107943,0.008467,0.107573,0.196457,0.115054,0.358247,0.154032,0.16278,0.219793,0.249851,0.0,0.0,0.088714,0.00047,0.415443
0.1,reward_model_rlhf_surrogate,80.0,0.490755,0.012963,0.490396,0.401057,0.013907,0.252083,0.002154,0.141233,0.008324,0.103394,0.008056,0.108263,0.206734,0.111111,0.390073,0.147392,0.156201,0.209201,0.236656,0.0,0.0,0.09244,0.000446,0.383677
0.1,uncertainty_query_preference_learner,80.0,0.500495,0.012365,0.500755,0.436994,0.012696,0.336672,0.002159,0.119595,0.007139,0.091424,0.006917,0.104264,0.349837,0.101914,0.470091,0.129734,0.136135,0.181392,0.201109,0.0025,0.0,0.098324,0.002702,0.34774
0.1,constraint_aware_planner,80.0,0.511693,0.012292,0.511021,0.460603,0.011684,0.342994,0.002256,0.10454,0.005927,0.072104,0.005011,0.121433,0.273381,0.098873,0.458256,0.124514,0.141735,0.161388,0.176046,0.0125,0.0,0.104046,0.008935,0.324131
0.1,failure_prediction_shield,80.0,0.509792,0.01273,0.507838,0.450956,0.012734,0.328807,0.00218,0.113081,0.006648,0.079978,0.005705,0.116022,0.252824,0.101811,0.43874,0.124531,0.145162,0.171372,0.186805,0.005,0.0,0.09931,0.00493,0.333778
0.1,side_effect_classifier_baseline,80.0,0.533633,0.012102,0.533812,0.501884,0.011441,0.400491,0.002215,0.092253,0.00532,0.074253,0.005189,0.113472,0.263377,0.09324,0.499331,0.105412,0.134652,0.148841,0.162095,0.06,0.0,0.131684,0.023824,0.28285
0.1,inverse_reward_design_baseline,80.0,0.52668,0.012003,0.527796,0.489535,0.01169,0.372583,0.002178,0.101765,0.005875,0.079781,0.005707,0.111341,0.240611,0.094738,0.51001,0.116873,0.128939,0.159635,0.176054,0.02375,0.0,0.117914,0.015584,0.295199
0.1,conservative_safety_filter,80.0,0.52293,0.011718,0.521056,0.493099,0.010671,0.398859,0.002168,0.085912,0.004634,0.05589,0.003424,0.13996,0.26643,0.09222,0.478147,0.108862,0.144665,0.137648,0.146727,0.0575,0.0,0.127387,0.02322,0.291635
0.1,preference_transformer_no_side_effects,80.0,0.526628,0.012135,0.527333,0.481225,0.01199,0.346422,0.002273,0.109127,0.006569,0.087557,0.006534,0.098748,0.253675,0.096792,0.520928,0.125602,0.124116,0.169835,0.187319,0.00625,0.0,0.110409,0.005161,0.303509
0.1,human_query_max_uncertainty,80.0,0.530326,0.011736,0.531525,0.504159,0.011258,0.438779,0.002289,0.092737,0.005486,0.077096,0.005479,0.097571,0.438478,0.088974,0.57424,0.108044,0.106924,0.14646,0.158972,0.095,0.0,0.151204,0.030184,0.280575
0.1,physical_affordance_penalty,80.0,0.547422,0.011666,0.545448,0.522699,0.010729,0.407768,0.002158,0.085625,0.004812,0.063147,0.004135,0.120689,0.241984,0.090563,0.513962,0.106781,0.131197,0.138539,0.149217,0.0975,0.0,0.153349,0.031255,0.262035
0.1,risk_calibrated_reward_model,80.0,0.563737,0.011941,0.562999,0.56484,0.010744,0.45111,0.002133,0.073005,0.004327,0.061487,0.003947,0.097583,0.240321,0.083166,0.595942,0.094764,0.109401,0.123002,0.127529,0.12875,0.00375,0.182278,0.037296,0.219894
0.1,proposed_side_effect_preference_model_v4,80.0,0.594063,0.011198,0.595356,0.616135,0.009772,0.519588,0.00225,0.051318,0.003133,0.052952,0.003203,0.098344,0.223665,0.077212,0.616217,0.077406,0.117519,0.102245,0.105566,0.3375,0.0275,0.295675,0.053929,0.168599
0.1,side_effect_causal_preference_model_v5,80.0,0.632852,0.01117,0.630779,0.690144,0.009357,0.587805,0.002152,0.034638,0.002231,0.041749,0.002046,0.07721,0.208939,0.066515,0.714415,0.056492,0.082043,0.074055,0.067624,0.99625,0.00125,0.688048,0.011446,0.09459
0.1,oracle_human_side_effect_judge,80.0,0.710026,0.010308,0.707791,0.784734,0.00837,0.62713,0.00217,0.016849,0.001293,0.029799,0.00114,0.058624,0.194171,0.057352,0.790361,0.042594,0.061974,0.049542,0.036601,1.0,0.0,0.784734,0.00837,0.0
