method,split,seed,success,success_ci95,side_effect_violation,side_effect_violation_ci95,preference_regret,preference_regret_ci95,side_effect_recall,side_effect_recall_ci95,false_alarm,false_alarm_ci95,query_cost,query_cost_ci95,damage_rate,damage_rate_ci95,data_efficiency_proxy,data_efficiency_proxy_ci95,groups,regret_to_oracle
success_only_policy,nominal,0,0.5061,0.0233,0.1216,0.012,0.0836,0.0041,0.1984,0.0038,0.047,0.0015,0.0588,0.0008,0.0735,0.0079,0.2129,0.0022,35,0.235
success_only_policy,nominal,1,0.5126,0.0206,0.1236,0.0123,0.0836,0.0044,0.1986,0.0039,0.0458,0.0012,0.0588,0.0008,0.0725,0.0082,0.2129,0.0021,35,0.2218
success_only_policy,nominal,2,0.5092,0.0186,0.122,0.0121,0.0827,0.0044,0.2001,0.0039,0.0461,0.0014,0.0588,0.0008,0.0718,0.0078,0.2132,0.0025,35,0.2486
success_only_policy,nominal,3,0.5279,0.0186,0.1235,0.0121,0.0838,0.0046,0.1947,0.0028,0.0471,0.0015,0.0588,0.0008,0.0741,0.0083,0.2151,0.0024,35,0.202
success_only_policy,nominal,4,0.5167,0.0201,0.1217,0.0124,0.0832,0.004,0.1963,0.0039,0.0467,0.0014,0.0588,0.0008,0.0738,0.0078,0.2124,0.0023,35,0.232
success_only_policy,nominal,5,0.5116,0.0177,0.1236,0.012,0.0832,0.0041,0.1957,0.0041,0.046,0.0014,0.0588,0.0008,0.0736,0.0083,0.215,0.0021,35,0.235
success_only_policy,nominal,6,0.534,0.0206,0.1219,0.0122,0.0832,0.0045,0.1974,0.0034,0.0453,0.0014,0.0588,0.0008,0.0728,0.008,0.2143,0.0025,35,0.2078
success_only_policy,seen_shift,0,0.4857,0.0201,0.1443,0.0153,0.0886,0.0053,0.1851,0.0026,0.0509,0.0013,0.069,0.001,0.0841,0.0101,0.2027,0.003,35,0.2442
success_only_policy,seen_shift,1,0.4752,0.0189,0.1457,0.0149,0.0913,0.0054,0.1826,0.0037,0.0518,0.0013,0.069,0.001,0.0848,0.0102,0.2038,0.0024,35,0.2364
success_only_policy,seen_shift,2,0.4857,0.0182,0.1448,0.015,0.0908,0.005,0.1818,0.0029,0.0516,0.0015,0.069,0.001,0.085,0.0098,0.2007,0.0025,35,0.2248
success_only_policy,seen_shift,3,0.4874,0.0244,0.1445,0.0154,0.09,0.0054,0.1826,0.0029,0.0512,0.0011,0.069,0.001,0.0864,0.0105,0.2021,0.0027,35,0.2228
success_only_policy,seen_shift,4,0.4762,0.0241,0.1436,0.0153,0.0893,0.0052,0.1843,0.0036,0.0513,0.0011,0.069,0.001,0.0856,0.01,0.2026,0.0027,35,0.2493
success_only_policy,seen_shift,5,0.4738,0.0223,0.1439,0.0161,0.0901,0.0059,0.1835,0.0037,0.0526,0.0014,0.069,0.001,0.0859,0.0103,0.202,0.0024,35,0.2425
success_only_policy,seen_shift,6,0.4724,0.0266,0.1447,0.0154,0.0895,0.0056,0.185,0.0028,0.0527,0.0014,0.069,0.001,0.0847,0.0102,0.2039,0.0024,35,0.2432
success_only_policy,unseen_object,0,0.4541,0.0228,0.1708,0.0193,0.0959,0.0061,0.1786,0.0027,0.054,0.0013,0.0741,0.0011,0.0908,0.011,0.1982,0.0027,35,0.2381
success_only_policy,unseen_object,1,0.448,0.0218,0.1712,0.0193,0.0955,0.0061,0.1789,0.0032,0.0554,0.0012,0.0741,0.0011,0.0902,0.0112,0.197,0.0026,35,0.2646
success_only_policy,unseen_object,2,0.4595,0.0187,0.1719,0.0193,0.0969,0.0061,0.1778,0.0029,0.0546,0.0011,0.0741,0.0011,0.0917,0.0114,0.1981,0.0018,35,0.2449
success_only_policy,unseen_object,3,0.4578,0.0207,0.1717,0.0192,0.0961,0.0062,0.1784,0.0032,0.0543,0.0012,0.0741,0.0011,0.0909,0.0115,0.196,0.0026,35,0.2514
success_only_policy,unseen_object,4,0.4622,0.0201,0.1737,0.0188,0.0962,0.0067,0.177,0.0034,0.0547,0.0012,0.0741,0.0011,0.0912,0.0112,0.1977,0.0026,35,0.2561
success_only_policy,unseen_object,5,0.4527,0.0203,0.1718,0.019,0.0962,0.0061,0.178,0.0036,0.054,0.0014,0.0741,0.0011,0.0927,0.0115,0.1978,0.0027,35,0.248
success_only_policy,unseen_object,6,0.4514,0.0222,0.1707,0.0195,0.0959,0.0061,0.1808,0.0039,0.0539,0.0011,0.0741,0.0011,0.0928,0.011,0.1994,0.0029,35,0.2442
success_only_policy,unseen_side_effect,0,0.4241,0.0231,0.168,0.019,0.0979,0.0067,0.1543,0.0035,0.0567,0.0013,0.0784,0.0012,0.1051,0.0137,0.1921,0.0026,35,0.2527
success_only_policy,unseen_side_effect,1,0.4371,0.022,0.1675,0.0192,0.0983,0.0064,0.1545,0.0034,0.0566,0.0013,0.0784,0.0012,0.1031,0.0132,0.1941,0.0029,35,0.2408
success_only_policy,unseen_side_effect,2,0.4109,0.0223,0.1689,0.0187,0.0988,0.0067,0.152,0.0037,0.0567,0.0016,0.0784,0.0012,0.1031,0.0134,0.1923,0.0029,35,0.2878
success_only_policy,unseen_side_effect,3,0.4364,0.0224,0.1685,0.019,0.0983,0.0066,0.1549,0.0031,0.0576,0.0014,0.0784,0.0012,0.103,0.0135,0.1925,0.0023,35,0.2503
success_only_policy,unseen_side_effect,4,0.4333,0.0205,0.1688,0.0185,0.0987,0.0065,0.1556,0.0036,0.0563,0.0013,0.0784,0.0012,0.1029,0.0135,0.1927,0.0024,35,0.2609
success_only_policy,unseen_side_effect,5,0.4395,0.0296,0.169,0.0185,0.0983,0.0064,0.1545,0.0032,0.0564,0.0013,0.0784,0.0012,0.103,0.0136,0.1936,0.003,35,0.2609
success_only_policy,unseen_side_effect,6,0.431,0.0249,0.169,0.0186,0.099,0.0064,0.1562,0.0036,0.058,0.0014,0.0784,0.0012,0.1035,0.0132,0.195,0.003,35,0.2575
success_only_policy,combined_stress,0,0.4095,0.0272,0.1919,0.0221,0.106,0.0073,0.1554,0.003,0.0608,0.0017,0.0864,0.0014,0.1102,0.0143,0.1822,0.0026,35,0.252
success_only_policy,combined_stress,1,0.4102,0.0231,0.192,0.0224,0.1054,0.0075,0.1544,0.0035,0.0612,0.0015,0.0864,0.0014,0.1081,0.0144,0.1827,0.0026,35,0.2582
success_only_policy,combined_stress,2,0.3966,0.0211,0.1925,0.0226,0.1054,0.0077,0.1539,0.0033,0.0626,0.0012,0.0864,0.0014,0.1101,0.0144,0.1839,0.0023,35,0.2694
success_only_policy,combined_stress,3,0.3884,0.0237,0.193,0.0226,0.1058,0.0077,0.1534,0.0034,0.0609,0.0011,0.0864,0.0014,0.1086,0.0144,0.1823,0.0032,35,0.2905
success_only_policy,combined_stress,4,0.3847,0.0211,0.1918,0.0221,0.1053,0.0079,0.1529,0.004,0.062,0.0011,0.0864,0.0014,0.1103,0.0141,0.184,0.0028,35,0.2833
success_only_policy,combined_stress,5,0.3942,0.024,0.1929,0.0224,0.1068,0.0078,0.1545,0.0027,0.0604,0.0013,0.0864,0.0014,0.1097,0.0141,0.1838,0.0025,35,0.2952
success_only_policy,combined_stress,6,0.4058,0.0185,0.192,0.0219,0.1053,0.0078,0.1562,0.0024,0.0624,0.0011,0.0864,0.0014,0.1102,0.0147,0.1809,0.0026,35,0.2673
generic_pairwise_preference_model,nominal,0,0.5636,0.0226,0.097,0.0097,0.0772,0.0037,0.3213,0.0031,0.068,0.0013,0.1734,0.0008,0.0633,0.0065,0.3443,0.0027,35,0.1776
generic_pairwise_preference_model,nominal,1,0.5605,0.0167,0.0961,0.0097,0.0773,0.0036,0.3232,0.003,0.0675,0.0013,0.1734,0.0008,0.0644,0.0068,0.3451,0.0025,35,0.1738
generic_pairwise_preference_model,nominal,2,0.5619,0.0204,0.0969,0.01,0.077,0.0035,0.3223,0.0038,0.068,0.0013,0.1734,0.0008,0.0638,0.0068,0.346,0.0024,35,0.1959
generic_pairwise_preference_model,nominal,3,0.5694,0.0144,0.0971,0.0099,0.0773,0.0037,0.324,0.0034,0.0675,0.0015,0.1734,0.0008,0.0638,0.0068,0.3467,0.0028,35,0.1605
generic_pairwise_preference_model,nominal,4,0.5704,0.018,0.0971,0.0094,0.0773,0.0035,0.3239,0.0032,0.0674,0.0013,0.1734,0.0008,0.0643,0.0069,0.3461,0.0031,35,0.1782
generic_pairwise_preference_model,nominal,5,0.5558,0.022,0.0974,0.01,0.077,0.0036,0.323,0.004,0.0667,0.0013,0.1734,0.0008,0.0646,0.0069,0.3438,0.0028,35,0.1908
generic_pairwise_preference_model,nominal,6,0.5636,0.0165,0.0995,0.0097,0.0766,0.0035,0.3264,0.0033,0.0679,0.0013,0.1734,0.0008,0.0641,0.0061,0.345,0.0028,35,0.1782
generic_pairwise_preference_model,seen_shift,0,0.5395,0.0208,0.1147,0.012,0.083,0.0043,0.3124,0.0031,0.0723,0.0013,0.1836,0.001,0.0741,0.0085,0.3358,0.0031,35,0.1905
generic_pairwise_preference_model,seen_shift,1,0.5269,0.0197,0.116,0.0123,0.0839,0.0044,0.3134,0.0034,0.0738,0.0012,0.1836,0.001,0.0746,0.0085,0.3353,0.0031,35,0.1847
generic_pairwise_preference_model,seen_shift,2,0.5177,0.0187,0.1164,0.0119,0.0834,0.0044,0.3128,0.0036,0.0734,0.0012,0.1836,0.001,0.0743,0.0085,0.3357,0.0028,35,0.1929
generic_pairwise_preference_model,seen_shift,3,0.5245,0.0227,0.1153,0.012,0.0834,0.0044,0.3094,0.0041,0.0739,0.0014,0.1836,0.001,0.0746,0.0087,0.3346,0.0024,35,0.1857
generic_pairwise_preference_model,seen_shift,4,0.5374,0.0162,0.114,0.0126,0.0833,0.0042,0.3098,0.0028,0.0727,0.0011,0.1836,0.001,0.0741,0.0087,0.3326,0.0025,35,0.1881
generic_pairwise_preference_model,seen_shift,5,0.5279,0.0204,0.1154,0.012,0.0823,0.0041,0.3099,0.003,0.0722,0.0016,0.1836,0.001,0.0751,0.0084,0.3322,0.0029,35,0.1884
generic_pairwise_preference_model,seen_shift,6,0.5374,0.0194,0.1146,0.0123,0.0825,0.0047,0.3129,0.0031,0.0734,0.0013,0.1836,0.001,0.0754,0.0086,0.3357,0.0031,35,0.1782
generic_pairwise_preference_model,unseen_object,0,0.5095,0.0223,0.1362,0.0149,0.0876,0.0049,0.3053,0.0033,0.0755,0.0012,0.1887,0.0011,0.0793,0.0095,0.3281,0.0025,35,0.1827
generic_pairwise_preference_model,unseen_object,1,0.5116,0.0198,0.1357,0.0157,0.0878,0.0049,0.3062,0.0038,0.0751,0.0012,0.1887,0.0011,0.0801,0.0095,0.3271,0.0025,35,0.201
generic_pairwise_preference_model,unseen_object,2,0.5071,0.0169,0.1359,0.0156,0.0864,0.0047,0.3068,0.0024,0.0746,0.0014,0.1887,0.0011,0.0781,0.0098,0.3278,0.0028,35,0.1973
generic_pairwise_preference_model,unseen_object,3,0.5099,0.02,0.1351,0.0149,0.088,0.0048,0.306,0.0035,0.0744,0.0014,0.1887,0.0011,0.0779,0.0098,0.3294,0.0029,35,0.1993
generic_pairwise_preference_model,unseen_object,4,0.4949,0.0144,0.1375,0.0154,0.0892,0.005,0.3064,0.0032,0.0753,0.0012,0.1887,0.0011,0.0807,0.0095,0.327,0.0023,35,0.2235
generic_pairwise_preference_model,unseen_object,5,0.5109,0.0204,0.1377,0.015,0.0879,0.0049,0.3096,0.0035,0.0759,0.001,0.1887,0.0011,0.0797,0.0096,0.3298,0.003,35,0.1898
generic_pairwise_preference_model,unseen_object,6,0.5054,0.0234,0.1353,0.0151,0.0878,0.005,0.3051,0.003,0.0763,0.0011,0.1887,0.0011,0.0792,0.0093,0.329,0.0024,35,0.1901
generic_pairwise_preference_model,unseen_side_effect,0,0.5136,0.0218,0.1342,0.0151,0.0897,0.005,0.2824,0.0035,0.0771,0.0011,0.193,0.0012,0.0901,0.0115,0.322,0.0028,35,0.1633
generic_pairwise_preference_model,unseen_side_effect,1,0.4735,0.0216,0.135,0.0153,0.0907,0.0053,0.2837,0.0035,0.0788,0.0016,0.193,0.0012,0.0899,0.0111,0.325,0.0026,35,0.2044
generic_pairwise_preference_model,unseen_side_effect,2,0.4932,0.0223,0.1342,0.0149,0.09,0.0049,0.2842,0.0032,0.0781,0.0012,0.193,0.0012,0.0894,0.0111,0.3229,0.0021,35,0.2054
generic_pairwise_preference_model,unseen_side_effect,3,0.4946,0.0198,0.1343,0.015,0.0889,0.0053,0.2843,0.0037,0.0778,0.0011,0.193,0.0012,0.09,0.0114,0.3219,0.0024,35,0.1922
generic_pairwise_preference_model,unseen_side_effect,4,0.5099,0.0259,0.1346,0.0155,0.0895,0.0054,0.2818,0.0034,0.0786,0.0013,0.193,0.0012,0.0897,0.0109,0.3256,0.0025,35,0.1844
generic_pairwise_preference_model,unseen_side_effect,5,0.4956,0.0162,0.1341,0.0151,0.0885,0.0055,0.2841,0.0034,0.0793,0.0013,0.193,0.0012,0.0892,0.0109,0.3236,0.0022,35,0.2048
generic_pairwise_preference_model,unseen_side_effect,6,0.4867,0.0203,0.1344,0.0148,0.088,0.0053,0.283,0.0033,0.0776,0.0013,0.193,0.0012,0.09,0.0115,0.3225,0.0026,35,0.2017
generic_pairwise_preference_model,combined_stress,0,0.4588,0.0245,0.1534,0.0178,0.0959,0.0062,0.2814,0.0026,0.0824,0.0015,0.201,0.0014,0.0944,0.0116,0.3147,0.0025,35,0.2027
generic_pairwise_preference_model,combined_stress,1,0.4527,0.024,0.1525,0.0176,0.0953,0.006,0.2835,0.0033,0.0819,0.0013,0.201,0.0014,0.0943,0.0116,0.3127,0.0023,35,0.2156
generic_pairwise_preference_model,combined_stress,2,0.4527,0.021,0.1542,0.0173,0.0945,0.0064,0.2806,0.0032,0.0819,0.0013,0.201,0.0014,0.0943,0.0118,0.3142,0.0026,35,0.2133
generic_pairwise_preference_model,combined_stress,3,0.4534,0.0216,0.1526,0.0179,0.0955,0.0063,0.2846,0.0032,0.0818,0.0015,0.201,0.0014,0.0937,0.0122,0.3153,0.0022,35,0.2255
generic_pairwise_preference_model,combined_stress,4,0.4646,0.0234,0.1528,0.0173,0.0952,0.006,0.283,0.0032,0.0829,0.0015,0.201,0.0014,0.094,0.012,0.3142,0.0029,35,0.2034
generic_pairwise_preference_model,combined_stress,5,0.4408,0.0282,0.1522,0.0183,0.0952,0.0061,0.2859,0.0037,0.0824,0.0015,0.201,0.0014,0.0944,0.0119,0.3161,0.0024,35,0.2486
generic_pairwise_preference_model,combined_stress,6,0.4704,0.0181,0.1526,0.0182,0.0967,0.0064,0.283,0.0031,0.0825,0.0014,0.201,0.0014,0.0932,0.0118,0.3145,0.0024,35,0.2027
reward_model_rlhf_surrogate,nominal,0,0.5871,0.0216,0.0919,0.0088,0.0767,0.0034,0.3533,0.0034,0.0712,0.0017,0.1836,0.0008,0.0617,0.0061,0.371,0.0022,35,0.1541
reward_model_rlhf_surrogate,nominal,1,0.5813,0.0183,0.0907,0.0093,0.0772,0.0034,0.3522,0.0035,0.07,0.0012,0.1836,0.0008,0.0628,0.0062,0.3704,0.0027,35,0.1531
reward_model_rlhf_surrogate,nominal,2,0.5932,0.0162,0.0907,0.0092,0.0756,0.0034,0.3523,0.0036,0.0705,0.0011,0.1836,0.0008,0.0623,0.0064,0.3675,0.0028,35,0.1646
reward_model_rlhf_surrogate,nominal,3,0.601,0.0193,0.091,0.0095,0.0752,0.003,0.3526,0.0033,0.0703,0.0011,0.1836,0.0008,0.0614,0.0063,0.3712,0.0027,35,0.1289
reward_model_rlhf_surrogate,nominal,4,0.5718,0.0169,0.0921,0.009,0.0759,0.0034,0.351,0.0035,0.0705,0.0012,0.1836,0.0008,0.0614,0.0064,0.3701,0.0032,35,0.1769
reward_model_rlhf_surrogate,nominal,5,0.5861,0.0204,0.0932,0.0094,0.0758,0.0033,0.3508,0.0036,0.0696,0.0011,0.1836,0.0008,0.062,0.0061,0.3701,0.0023,35,0.1605
reward_model_rlhf_surrogate,nominal,6,0.5714,0.0159,0.0917,0.0088,0.0762,0.0032,0.3524,0.0035,0.0701,0.0013,0.1836,0.0008,0.0626,0.0061,0.37,0.0024,35,0.1704
reward_model_rlhf_surrogate,seen_shift,0,0.5361,0.0198,0.1067,0.0116,0.0803,0.0042,0.3435,0.0043,0.0764,0.0013,0.1938,0.001,0.0731,0.0077,0.3604,0.0023,35,0.1939
reward_model_rlhf_surrogate,seen_shift,1,0.5473,0.0194,0.1067,0.0114,0.0816,0.0038,0.3406,0.0029,0.0754,0.0015,0.1938,0.001,0.0706,0.0085,0.3587,0.0032,35,0.1643
reward_model_rlhf_surrogate,seen_shift,2,0.5439,0.0208,0.1084,0.0116,0.0816,0.0038,0.3366,0.0032,0.0757,0.0011,0.1938,0.001,0.0725,0.0077,0.3587,0.0023,35,0.1667
reward_model_rlhf_surrogate,seen_shift,3,0.5446,0.0201,0.1088,0.0116,0.0811,0.0039,0.3373,0.003,0.0754,0.0014,0.1938,0.001,0.0706,0.0079,0.3605,0.0026,35,0.1656
reward_model_rlhf_surrogate,seen_shift,4,0.5347,0.021,0.1065,0.0117,0.0791,0.0045,0.3393,0.0031,0.0741,0.0012,0.1938,0.001,0.0707,0.0081,0.359,0.003,35,0.1908
reward_model_rlhf_surrogate,seen_shift,5,0.5728,0.0163,0.1077,0.0115,0.0807,0.0045,0.3406,0.0033,0.0762,0.0012,0.1938,0.001,0.0727,0.0081,0.3584,0.0022,35,0.1435
reward_model_rlhf_surrogate,seen_shift,6,0.5347,0.019,0.1083,0.0114,0.0823,0.0041,0.3421,0.0033,0.0754,0.0012,0.1938,0.001,0.0717,0.008,0.3597,0.0026,35,0.181
reward_model_rlhf_surrogate,unseen_object,0,0.5541,0.0193,0.1283,0.0146,0.0846,0.0047,0.3337,0.003,0.0784,0.0015,0.1989,0.0011,0.0773,0.0089,0.3534,0.0032,35,0.1381
reward_model_rlhf_surrogate,unseen_object,1,0.5218,0.0188,0.1279,0.0143,0.0855,0.0045,0.3315,0.0033,0.0788,0.0015,0.1989,0.0011,0.0769,0.0084,0.3544,0.0024,35,0.1908
reward_model_rlhf_surrogate,unseen_object,2,0.532,0.0212,0.128,0.0145,0.0856,0.0049,0.3335,0.0034,0.078,0.0015,0.1989,0.0011,0.0767,0.0089,0.3556,0.0023,35,0.1724
reward_model_rlhf_surrogate,unseen_object,3,0.5269,0.0182,0.127,0.0146,0.0844,0.0045,0.3342,0.0035,0.0791,0.0013,0.1989,0.0011,0.0772,0.0089,0.3531,0.0033,35,0.1823
reward_model_rlhf_surrogate,unseen_object,4,0.533,0.018,0.128,0.0146,0.0846,0.0046,0.3344,0.0039,0.079,0.0013,0.1989,0.0011,0.0772,0.0088,0.3512,0.0029,35,0.1854
reward_model_rlhf_surrogate,unseen_object,5,0.5211,0.0221,0.1288,0.0143,0.086,0.0044,0.3337,0.0032,0.0782,0.0016,0.1989,0.0011,0.0768,0.0091,0.3564,0.003,35,0.1796
reward_model_rlhf_surrogate,unseen_object,6,0.5361,0.0201,0.1284,0.0147,0.0857,0.0044,0.3333,0.0031,0.0789,0.0013,0.1989,0.0011,0.0772,0.0088,0.3558,0.0026,35,0.1595
reward_model_rlhf_surrogate,unseen_side_effect,0,0.4963,0.0192,0.1269,0.0144,0.0872,0.005,0.3127,0.0031,0.0819,0.0011,0.2032,0.0012,0.085,0.0108,0.351,0.0021,35,0.1806
reward_model_rlhf_surrogate,unseen_side_effect,1,0.5048,0.0178,0.127,0.014,0.0868,0.0051,0.3105,0.0035,0.0813,0.0013,0.2032,0.0012,0.087,0.0104,0.3475,0.0028,35,0.1731
reward_model_rlhf_surrogate,unseen_side_effect,2,0.515,0.0245,0.1272,0.014,0.087,0.0052,0.3114,0.0034,0.0792,0.0013,0.2032,0.0012,0.0852,0.0104,0.3475,0.0028,35,0.1837
reward_model_rlhf_surrogate,unseen_side_effect,3,0.5068,0.0206,0.1263,0.0145,0.0863,0.005,0.3141,0.004,0.0804,0.0014,0.2032,0.0012,0.0879,0.0102,0.3487,0.0026,35,0.1799
reward_model_rlhf_surrogate,unseen_side_effect,4,0.5197,0.023,0.1273,0.0142,0.087,0.0052,0.3106,0.0037,0.081,0.0014,0.2032,0.0012,0.0859,0.0109,0.348,0.0028,35,0.1745
reward_model_rlhf_surrogate,unseen_side_effect,5,0.5303,0.0203,0.1267,0.0143,0.0868,0.0056,0.3102,0.0035,0.08,0.0015,0.2032,0.0012,0.0864,0.0106,0.3486,0.0023,35,0.1701
reward_model_rlhf_surrogate,unseen_side_effect,6,0.5014,0.0238,0.1273,0.0145,0.0855,0.005,0.3136,0.0041,0.0809,0.0009,0.2032,0.0012,0.0862,0.0108,0.3467,0.0025,35,0.1871
reward_model_rlhf_surrogate,combined_stress,0,0.4741,0.0237,0.1439,0.0165,0.0918,0.0057,0.3108,0.0026,0.0845,0.0014,0.2112,0.0014,0.0898,0.0115,0.3407,0.0027,35,0.1874
reward_model_rlhf_surrogate,combined_stress,1,0.4718,0.0174,0.1443,0.0167,0.0915,0.0059,0.3067,0.004,0.0851,0.0013,0.2112,0.0014,0.0903,0.0115,0.34,0.0027,35,0.1966
reward_model_rlhf_surrogate,combined_stress,2,0.4745,0.0241,0.1441,0.0163,0.0921,0.0058,0.3113,0.003,0.0851,0.0014,0.2112,0.0014,0.0904,0.0116,0.3388,0.0036,35,0.1915
reward_model_rlhf_surrogate,combined_stress,3,0.4823,0.0245,0.1437,0.0163,0.0924,0.0055,0.3102,0.0032,0.0864,0.0016,0.2112,0.0014,0.0901,0.011,0.3422,0.0025,35,0.1966
reward_model_rlhf_surrogate,combined_stress,4,0.4864,0.024,0.1441,0.0168,0.0937,0.0059,0.3101,0.0039,0.0853,0.0014,0.2112,0.0014,0.0912,0.0106,0.3404,0.0024,35,0.1816
reward_model_rlhf_surrogate,combined_stress,5,0.4592,0.019,0.142,0.0171,0.093,0.0057,0.3099,0.0032,0.0853,0.0014,0.2112,0.0014,0.0901,0.0113,0.3375,0.0029,35,0.2303
reward_model_rlhf_surrogate,combined_stress,6,0.483,0.0249,0.1438,0.0165,0.0923,0.0063,0.3123,0.003,0.0849,0.0012,0.2112,0.0014,0.0916,0.0112,0.3411,0.0026,35,0.1901
