method,split,seed,success,success_ci95,side_effect_violation,side_effect_violation_ci95,preference_regret,preference_regret_ci95,side_effect_recall,side_effect_recall_ci95,false_alarm,false_alarm_ci95,query_cost,query_cost_ci95,damage_rate,damage_rate_ci95,data_efficiency_proxy,data_efficiency_proxy_ci95,groups,regret_to_oracle
uncertainty_query_preference_learner,nominal,0,0.5759,0.0192,0.0775,0.0073,0.0728,0.0027,0.437,0.0036,0.0722,0.0016,0.3245,0.0008,0.0563,0.0054,0.4629,0.0026,35,0.1653
uncertainty_query_preference_learner,nominal,1,0.5793,0.0212,0.0747,0.0078,0.0717,0.0032,0.4362,0.0032,0.0718,0.0011,0.3245,0.0008,0.0566,0.0055,0.4583,0.0034,35,0.1551
uncertainty_query_preference_learner,nominal,2,0.5803,0.0185,0.0752,0.0079,0.0717,0.0031,0.4393,0.0033,0.0718,0.0014,0.3245,0.0008,0.0572,0.0057,0.4619,0.0033,35,0.1776
uncertainty_query_preference_learner,nominal,3,0.5881,0.0183,0.0767,0.0082,0.0716,0.003,0.4374,0.0045,0.0733,0.0011,0.3245,0.0008,0.0572,0.0053,0.4601,0.0025,35,0.1418
uncertainty_query_preference_learner,nominal,4,0.5694,0.0209,0.0773,0.0076,0.0716,0.0028,0.4391,0.0035,0.0716,0.0014,0.3245,0.0008,0.0564,0.0054,0.4614,0.0023,35,0.1793
uncertainty_query_preference_learner,nominal,5,0.5884,0.0165,0.0763,0.0082,0.0723,0.0029,0.4383,0.003,0.0718,0.0017,0.3245,0.0008,0.0566,0.0055,0.4617,0.0031,35,0.1582
uncertainty_query_preference_learner,nominal,6,0.5782,0.0207,0.0761,0.0078,0.0716,0.0027,0.4405,0.0029,0.0719,0.0014,0.3245,0.0008,0.0572,0.005,0.4621,0.0023,35,0.1636
uncertainty_query_preference_learner,seen_shift,0,0.5422,0.0205,0.0911,0.0098,0.0767,0.0033,0.425,0.0032,0.076,0.0014,0.3347,0.001,0.0652,0.0067,0.4495,0.0025,35,0.1878
uncertainty_query_preference_learner,seen_shift,1,0.5517,0.0225,0.0915,0.01,0.0774,0.0034,0.4253,0.0034,0.077,0.0012,0.3347,0.001,0.0652,0.0067,0.4529,0.0024,35,0.1599
uncertainty_query_preference_learner,seen_shift,2,0.5418,0.02,0.0911,0.0099,0.0762,0.0039,0.4233,0.0026,0.0768,0.0014,0.3347,0.001,0.065,0.0068,0.4497,0.0029,35,0.1687
uncertainty_query_preference_learner,seen_shift,3,0.5415,0.0176,0.0919,0.0097,0.0749,0.0033,0.4267,0.0031,0.0774,0.001,0.3347,0.001,0.0656,0.0066,0.4504,0.0024,35,0.1687
uncertainty_query_preference_learner,seen_shift,4,0.5361,0.0217,0.0911,0.0098,0.0767,0.0037,0.4253,0.0029,0.0777,0.0014,0.3347,0.001,0.0645,0.0072,0.4513,0.003,35,0.1895
uncertainty_query_preference_learner,seen_shift,5,0.55,0.0199,0.0912,0.0099,0.0756,0.0035,0.4243,0.0033,0.0767,0.0017,0.3347,0.001,0.0642,0.0071,0.4512,0.0029,35,0.1663
uncertainty_query_preference_learner,seen_shift,6,0.5418,0.0189,0.0901,0.0095,0.0767,0.0031,0.4248,0.003,0.0777,0.0014,0.3347,0.001,0.0647,0.0071,0.449,0.0025,35,0.1738
uncertainty_query_preference_learner,unseen_object,0,0.5099,0.0209,0.1078,0.0124,0.0809,0.0038,0.4206,0.0031,0.0802,0.0016,0.3398,0.0011,0.0702,0.0071,0.4471,0.0024,35,0.1823
uncertainty_query_preference_learner,unseen_object,1,0.5367,0.0145,0.107,0.0121,0.0809,0.004,0.419,0.0034,0.0797,0.0014,0.3398,0.0011,0.0696,0.0078,0.4457,0.0029,35,0.1759
uncertainty_query_preference_learner,unseen_object,2,0.535,0.019,0.1073,0.0121,0.0795,0.004,0.4181,0.003,0.081,0.0012,0.3398,0.0011,0.0694,0.0074,0.444,0.0026,35,0.1694
uncertainty_query_preference_learner,unseen_object,3,0.532,0.0247,0.1068,0.0124,0.0804,0.0042,0.4211,0.0035,0.0802,0.0014,0.3398,0.0011,0.0692,0.0076,0.4457,0.003,35,0.1772
uncertainty_query_preference_learner,unseen_object,4,0.5245,0.0186,0.1076,0.0126,0.0791,0.0047,0.4189,0.0035,0.0801,0.0013,0.3398,0.0011,0.0686,0.0075,0.4448,0.0034,35,0.1939
uncertainty_query_preference_learner,unseen_object,5,0.5405,0.018,0.1071,0.0129,0.0797,0.0041,0.4197,0.0032,0.0799,0.0012,0.3398,0.0011,0.0693,0.0074,0.4472,0.0027,35,0.1602
uncertainty_query_preference_learner,unseen_object,6,0.5381,0.0184,0.107,0.0122,0.08,0.0038,0.4189,0.0037,0.0804,0.0016,0.3398,0.0011,0.0705,0.0076,0.4445,0.0027,35,0.1575
uncertainty_query_preference_learner,unseen_side_effect,0,0.5252,0.0214,0.1077,0.0121,0.082,0.0041,0.3983,0.0033,0.0833,0.0013,0.3442,0.0012,0.0774,0.0093,0.4406,0.0029,35,0.1517
uncertainty_query_preference_learner,unseen_side_effect,1,0.5129,0.0198,0.1073,0.0122,0.0823,0.0043,0.3969,0.0029,0.0817,0.0012,0.3442,0.0012,0.0767,0.0091,0.4391,0.0027,35,0.165
uncertainty_query_preference_learner,unseen_side_effect,2,0.5105,0.0202,0.1058,0.0121,0.0807,0.0043,0.3981,0.0033,0.082,0.0012,0.3442,0.0012,0.0773,0.0092,0.4389,0.0028,35,0.1881
uncertainty_query_preference_learner,unseen_side_effect,3,0.5194,0.0178,0.105,0.0125,0.081,0.0042,0.3965,0.0033,0.0833,0.0011,0.3442,0.0012,0.0767,0.0088,0.4427,0.0026,35,0.1673
uncertainty_query_preference_learner,unseen_side_effect,4,0.5105,0.0197,0.1066,0.0121,0.082,0.0043,0.3979,0.0038,0.0831,0.0011,0.3442,0.0012,0.0771,0.0093,0.4432,0.0027,35,0.1837
uncertainty_query_preference_learner,unseen_side_effect,5,0.5088,0.0235,0.108,0.0119,0.0821,0.0042,0.3977,0.0031,0.0821,0.0011,0.3442,0.0012,0.0773,0.009,0.4418,0.003,35,0.1915
uncertainty_query_preference_learner,unseen_side_effect,6,0.4908,0.0207,0.1058,0.0121,0.0822,0.0039,0.3981,0.0029,0.0829,0.0012,0.3442,0.0012,0.0777,0.0095,0.4407,0.0025,35,0.1976
uncertainty_query_preference_learner,combined_stress,0,0.485,0.0162,0.1212,0.0143,0.0849,0.0048,0.3965,0.0033,0.0877,0.0011,0.3522,0.0014,0.0808,0.01,0.4309,0.003,35,0.1765
uncertainty_query_preference_learner,combined_stress,1,0.482,0.0185,0.1215,0.015,0.0865,0.0053,0.3982,0.0022,0.0875,0.0011,0.3522,0.0014,0.0806,0.0098,0.4297,0.0023,35,0.1864
uncertainty_query_preference_learner,combined_stress,2,0.4918,0.0207,0.1202,0.0139,0.0859,0.0049,0.3952,0.003,0.0868,0.0016,0.3522,0.0014,0.0803,0.0092,0.4276,0.0024,35,0.1741
uncertainty_query_preference_learner,combined_stress,3,0.4701,0.0299,0.1231,0.0143,0.0867,0.0051,0.3972,0.0036,0.0879,0.0012,0.3522,0.0014,0.0809,0.0094,0.4335,0.0024,35,0.2088
uncertainty_query_preference_learner,combined_stress,4,0.4884,0.0215,0.1205,0.0143,0.0856,0.0048,0.3952,0.0044,0.0868,0.0012,0.3522,0.0014,0.0801,0.0099,0.4333,0.0026,35,0.1796
uncertainty_query_preference_learner,combined_stress,5,0.4772,0.0184,0.1211,0.0147,0.0861,0.0053,0.3966,0.0029,0.0871,0.0014,0.3522,0.0014,0.0813,0.0098,0.4319,0.0028,35,0.2122
uncertainty_query_preference_learner,combined_stress,6,0.5031,0.0179,0.1202,0.0144,0.0842,0.005,0.3967,0.0034,0.0861,0.0012,0.3522,0.0014,0.0794,0.0097,0.4296,0.0024,35,0.1701
constraint_aware_planner,nominal,0,0.5908,0.0166,0.0676,0.0064,0.0703,0.0027,0.4477,0.0036,0.0902,0.0012,0.2508,0.0008,0.047,0.0037,0.4714,0.0024,35,0.1503
constraint_aware_planner,nominal,1,0.5895,0.0168,0.0656,0.0069,0.0697,0.0026,0.4495,0.0038,0.0897,0.0015,0.2508,0.0008,0.0471,0.0038,0.4719,0.0029,35,0.1449
constraint_aware_planner,nominal,2,0.5888,0.0174,0.0673,0.0066,0.0694,0.0027,0.4473,0.0028,0.0881,0.0011,0.2508,0.0008,0.046,0.0035,0.471,0.0029,35,0.169
constraint_aware_planner,nominal,3,0.6014,0.0189,0.0672,0.0064,0.0696,0.0026,0.4466,0.0033,0.0895,0.0013,0.2508,0.0008,0.0464,0.0037,0.4695,0.003,35,0.1286
constraint_aware_planner,nominal,4,0.5867,0.017,0.0681,0.0067,0.0709,0.0028,0.4442,0.0031,0.0885,0.0016,0.2508,0.0008,0.0465,0.0038,0.4705,0.0033,35,0.1619
constraint_aware_planner,nominal,5,0.5857,0.0203,0.0678,0.0065,0.0701,0.0026,0.4456,0.0029,0.0885,0.0013,0.2508,0.0008,0.0454,0.0036,0.4738,0.0019,35,0.1609
constraint_aware_planner,nominal,6,0.5755,0.0166,0.0676,0.0065,0.0692,0.0024,0.4469,0.0034,0.0885,0.0014,0.2508,0.0008,0.046,0.004,0.4711,0.0027,35,0.1663
constraint_aware_planner,seen_shift,0,0.5537,0.0158,0.0776,0.0078,0.0743,0.003,0.4313,0.0038,0.0958,0.0014,0.2609,0.001,0.0522,0.0042,0.4612,0.0032,35,0.1762
constraint_aware_planner,seen_shift,1,0.5595,0.0205,0.0781,0.0083,0.0752,0.0035,0.4349,0.0031,0.0949,0.0012,0.2609,0.001,0.0518,0.0049,0.4582,0.0019,35,0.152
constraint_aware_planner,seen_shift,2,0.5507,0.0209,0.0777,0.0082,0.0739,0.0026,0.43,0.0032,0.0946,0.0015,0.2609,0.001,0.0511,0.0046,0.4598,0.003,35,0.1599
constraint_aware_planner,seen_shift,3,0.5476,0.0168,0.0782,0.0083,0.0732,0.0031,0.4333,0.0034,0.0949,0.0013,0.2609,0.001,0.0517,0.0049,0.4594,0.0026,35,0.1626
constraint_aware_planner,seen_shift,4,0.5571,0.0226,0.0783,0.0083,0.0731,0.003,0.4321,0.003,0.0955,0.0016,0.2609,0.001,0.0518,0.0049,0.459,0.0024,35,0.1684
constraint_aware_planner,seen_shift,5,0.5524,0.022,0.0777,0.008,0.0744,0.0036,0.4324,0.0038,0.0948,0.001,0.2609,0.001,0.0528,0.0047,0.4585,0.0022,35,0.1639
constraint_aware_planner,seen_shift,6,0.5616,0.0218,0.0792,0.0088,0.0739,0.0029,0.4334,0.0035,0.0944,0.0013,0.2609,0.001,0.0519,0.005,0.4582,0.0025,35,0.1541
constraint_aware_planner,unseen_object,0,0.5469,0.0176,0.0944,0.0105,0.0776,0.0035,0.4272,0.0032,0.0973,0.0016,0.266,0.0011,0.0554,0.0049,0.4551,0.0022,35,0.1452
constraint_aware_planner,unseen_object,1,0.5517,0.0196,0.0952,0.0106,0.0777,0.0036,0.4318,0.0033,0.0989,0.0012,0.266,0.0011,0.0543,0.0054,0.4541,0.0025,35,0.1609
constraint_aware_planner,unseen_object,2,0.5354,0.0194,0.0947,0.0105,0.0781,0.0033,0.4287,0.0033,0.0973,0.0013,0.266,0.0011,0.0545,0.005,0.4531,0.0025,35,0.169
constraint_aware_planner,unseen_object,3,0.5405,0.017,0.0933,0.011,0.0774,0.0033,0.4287,0.0033,0.0974,0.0014,0.266,0.0011,0.0546,0.0053,0.4519,0.0023,35,0.1687
constraint_aware_planner,unseen_object,4,0.534,0.0211,0.0934,0.0104,0.078,0.0033,0.4293,0.004,0.098,0.0014,0.266,0.0011,0.0557,0.0051,0.4553,0.0027,35,0.1844
constraint_aware_planner,unseen_object,5,0.5245,0.0158,0.0937,0.0107,0.0781,0.0035,0.4267,0.0027,0.0971,0.0015,0.266,0.0011,0.0565,0.0051,0.4529,0.003,35,0.1762
constraint_aware_planner,unseen_object,6,0.532,0.0203,0.0944,0.0106,0.0783,0.0032,0.4258,0.0027,0.0988,0.0011,0.266,0.0011,0.056,0.0048,0.4523,0.0026,35,0.1636
constraint_aware_planner,unseen_side_effect,0,0.5167,0.0197,0.0902,0.0096,0.0789,0.0035,0.4045,0.0039,0.1002,0.0012,0.2704,0.0012,0.0595,0.0059,0.4473,0.0028,35,0.1602
constraint_aware_planner,unseen_side_effect,1,0.4993,0.0203,0.0909,0.0098,0.0793,0.0036,0.4076,0.0031,0.1009,0.0015,0.2704,0.0012,0.0614,0.0059,0.4475,0.0023,35,0.1786
constraint_aware_planner,unseen_side_effect,2,0.5153,0.0217,0.0898,0.01,0.0778,0.0042,0.407,0.003,0.1003,0.0012,0.2704,0.0012,0.0606,0.0062,0.4515,0.0024,35,0.1833
constraint_aware_planner,unseen_side_effect,3,0.5228,0.0204,0.0904,0.0104,0.0799,0.0039,0.4088,0.0035,0.1001,0.0014,0.2704,0.0012,0.06,0.006,0.4479,0.0029,35,0.1639
constraint_aware_planner,unseen_side_effect,4,0.5272,0.0155,0.0897,0.0097,0.0787,0.0037,0.4057,0.0029,0.1,0.0011,0.2704,0.0012,0.0617,0.0063,0.4483,0.0025,35,0.167
constraint_aware_planner,unseen_side_effect,5,0.5095,0.0196,0.0893,0.0102,0.0785,0.0034,0.4054,0.0036,0.1,0.0011,0.2704,0.0012,0.0617,0.0064,0.4503,0.0026,35,0.1908
constraint_aware_planner,unseen_side_effect,6,0.5248,0.0182,0.0899,0.0097,0.0778,0.0035,0.4033,0.003,0.1007,0.0014,0.2704,0.0012,0.0603,0.0061,0.4491,0.003,35,0.1636
constraint_aware_planner,combined_stress,0,0.5034,0.0188,0.1029,0.0116,0.083,0.0044,0.406,0.0041,0.1048,0.0012,0.2784,0.0014,0.0643,0.0065,0.4408,0.003,35,0.1582
constraint_aware_planner,combined_stress,1,0.482,0.0213,0.103,0.0119,0.0831,0.0046,0.407,0.0028,0.1046,0.0013,0.2784,0.0014,0.0624,0.0066,0.4413,0.0026,35,0.1864
constraint_aware_planner,combined_stress,2,0.5122,0.0159,0.1039,0.0118,0.0843,0.0039,0.406,0.0028,0.1046,0.0012,0.2784,0.0014,0.0639,0.0064,0.4395,0.0023,35,0.1537
constraint_aware_planner,combined_stress,3,0.5095,0.0211,0.1042,0.0115,0.0838,0.0045,0.4042,0.0038,0.1038,0.0011,0.2784,0.0014,0.0631,0.0066,0.4395,0.0026,35,0.1694
constraint_aware_planner,combined_stress,4,0.4888,0.0182,0.1047,0.0122,0.0836,0.0045,0.4073,0.0042,0.1055,0.0013,0.2784,0.0014,0.0633,0.0065,0.4401,0.0029,35,0.1793
constraint_aware_planner,combined_stress,5,0.4915,0.022,0.1044,0.0108,0.0834,0.004,0.4035,0.0035,0.1044,0.0012,0.2784,0.0014,0.0633,0.0064,0.4393,0.0026,35,0.198
constraint_aware_planner,combined_stress,6,0.4724,0.0238,0.1028,0.0117,0.0829,0.004,0.4026,0.003,0.1047,0.0014,0.2784,0.0014,0.063,0.0065,0.4378,0.0024,35,0.2007
failure_prediction_shield,nominal,0,0.5813,0.0184,0.0747,0.007,0.072,0.0025,0.4269,0.0035,0.0824,0.0009,0.2303,0.0008,0.0504,0.0049,0.4466,0.0022,35,0.1599
failure_prediction_shield,nominal,1,0.5748,0.0147,0.0721,0.0073,0.0711,0.0031,0.4261,0.0026,0.0824,0.0015,0.2303,0.0008,0.0521,0.0045,0.4468,0.0022,35,0.1595
failure_prediction_shield,nominal,2,0.5884,0.023,0.0734,0.0074,0.0721,0.0025,0.4222,0.0034,0.0812,0.0013,0.2303,0.0008,0.051,0.0049,0.4439,0.0024,35,0.1694
failure_prediction_shield,nominal,3,0.5986,0.0189,0.0731,0.0072,0.0715,0.0029,0.427,0.0031,0.0834,0.0015,0.2303,0.0008,0.0508,0.0043,0.446,0.0026,35,0.1313
failure_prediction_shield,nominal,4,0.5667,0.0208,0.0723,0.007,0.0723,0.0028,0.4257,0.0032,0.0822,0.0012,0.2303,0.0008,0.0515,0.0045,0.4452,0.0022,35,0.182
failure_prediction_shield,nominal,5,0.584,0.0206,0.075,0.0073,0.0715,0.0031,0.4272,0.0023,0.082,0.0015,0.2303,0.0008,0.0511,0.0045,0.4448,0.0021,35,0.1626
failure_prediction_shield,nominal,6,0.5861,0.0196,0.0741,0.0074,0.0726,0.003,0.4256,0.0033,0.0828,0.0012,0.2303,0.0008,0.0521,0.0046,0.4449,0.0026,35,0.1558
failure_prediction_shield,seen_shift,0,0.5425,0.0221,0.0859,0.0085,0.0767,0.0034,0.4142,0.0031,0.087,0.0016,0.2405,0.001,0.0576,0.0058,0.4318,0.0026,35,0.1874
failure_prediction_shield,seen_shift,1,0.5578,0.0176,0.0849,0.0091,0.0756,0.0031,0.4149,0.0032,0.0891,0.0014,0.2405,0.001,0.058,0.0057,0.4346,0.002,35,0.1537
failure_prediction_shield,seen_shift,2,0.5517,0.0197,0.0865,0.0094,0.0761,0.0035,0.4166,0.0033,0.088,0.0014,0.2405,0.001,0.0575,0.0057,0.4351,0.003,35,0.1588
failure_prediction_shield,seen_shift,3,0.5296,0.0192,0.0861,0.0086,0.0756,0.0035,0.4122,0.003,0.0873,0.0015,0.2405,0.001,0.0577,0.0055,0.4352,0.0028,35,0.1806
failure_prediction_shield,seen_shift,4,0.5578,0.0172,0.0855,0.0093,0.0753,0.0036,0.4119,0.0029,0.087,0.0013,0.2405,0.001,0.0579,0.0057,0.4358,0.0027,35,0.1677
failure_prediction_shield,seen_shift,5,0.5714,0.0196,0.0848,0.009,0.0751,0.0035,0.4102,0.0028,0.0891,0.0013,0.2405,0.001,0.0578,0.0054,0.4367,0.0018,35,0.1449
failure_prediction_shield,seen_shift,6,0.5408,0.0158,0.0858,0.0086,0.0755,0.0035,0.4127,0.004,0.0875,0.0014,0.2405,0.001,0.0582,0.0055,0.4329,0.0026,35,0.1748
failure_prediction_shield,unseen_object,0,0.5357,0.0207,0.1008,0.0114,0.0802,0.0038,0.4083,0.0031,0.0899,0.0013,0.2456,0.0011,0.0621,0.006,0.4276,0.0025,35,0.1565
failure_prediction_shield,unseen_object,1,0.535,0.0209,0.1013,0.0113,0.0796,0.0036,0.4075,0.0029,0.0912,0.0013,0.2456,0.0011,0.0597,0.0062,0.428,0.0027,35,0.1776
failure_prediction_shield,unseen_object,2,0.5401,0.0154,0.1025,0.0117,0.0803,0.004,0.4073,0.0027,0.0905,0.0014,0.2456,0.0011,0.0616,0.006,0.4262,0.0024,35,0.1643
failure_prediction_shield,unseen_object,3,0.5405,0.02,0.1024,0.0113,0.0798,0.0038,0.4091,0.0032,0.0922,0.0016,0.2456,0.0011,0.063,0.0057,0.4264,0.0023,35,0.1687
failure_prediction_shield,unseen_object,4,0.531,0.0167,0.1013,0.0115,0.0798,0.0039,0.4081,0.0028,0.0909,0.0014,0.2456,0.0011,0.0616,0.0056,0.4277,0.0023,35,0.1874
failure_prediction_shield,unseen_object,5,0.5364,0.0193,0.1009,0.0114,0.0792,0.0037,0.409,0.0028,0.0909,0.0012,0.2456,0.0011,0.0602,0.0057,0.4279,0.0024,35,0.1643
failure_prediction_shield,unseen_object,6,0.5364,0.0175,0.1027,0.0111,0.0801,0.0039,0.4108,0.0027,0.0919,0.0013,0.2456,0.0011,0.0611,0.0059,0.4282,0.0031,35,0.1592
failure_prediction_shield,unseen_side_effect,0,0.5177,0.0223,0.0995,0.0113,0.0826,0.0039,0.3866,0.0041,0.0933,0.0015,0.2499,0.0012,0.0677,0.0072,0.4253,0.0024,35,0.1592
failure_prediction_shield,unseen_side_effect,1,0.5051,0.0211,0.0988,0.0111,0.0806,0.0042,0.3867,0.0031,0.0932,0.0015,0.2499,0.0012,0.0677,0.0075,0.4227,0.0023,35,0.1728
failure_prediction_shield,unseen_side_effect,2,0.5214,0.0252,0.0997,0.011,0.0814,0.0043,0.3839,0.0039,0.0945,0.0009,0.2499,0.0012,0.0686,0.0077,0.4245,0.0024,35,0.1772
failure_prediction_shield,unseen_side_effect,3,0.5122,0.0177,0.1002,0.0115,0.0807,0.0044,0.3868,0.0035,0.0941,0.0009,0.2499,0.0012,0.0679,0.0072,0.4207,0.0027,35,0.1745
failure_prediction_shield,unseen_side_effect,4,0.5228,0.0195,0.0987,0.0117,0.0799,0.004,0.3839,0.003,0.0932,0.0011,0.2499,0.0012,0.0676,0.007,0.4232,0.0029,35,0.1714
failure_prediction_shield,unseen_side_effect,5,0.5167,0.0229,0.0975,0.0112,0.0812,0.0044,0.3852,0.0039,0.0928,0.0012,0.2499,0.0012,0.0676,0.0073,0.4238,0.0024,35,0.1837
failure_prediction_shield,unseen_side_effect,6,0.5027,0.0201,0.0999,0.0113,0.0811,0.0041,0.3857,0.003,0.0938,0.0015,0.2499,0.0012,0.0672,0.0074,0.4228,0.0031,35,0.1857
failure_prediction_shield,combined_stress,0,0.5058,0.0175,0.115,0.0132,0.0858,0.0048,0.388,0.0036,0.0982,0.0013,0.2579,0.0014,0.0708,0.0076,0.4151,0.0025,35,0.1558
failure_prediction_shield,combined_stress,1,0.4697,0.0255,0.1129,0.0132,0.0855,0.0048,0.3864,0.0035,0.0995,0.0012,0.2579,0.0014,0.0708,0.0074,0.4154,0.0026,35,0.1986
failure_prediction_shield,combined_stress,2,0.4932,0.0209,0.1142,0.0127,0.086,0.0047,0.3831,0.0033,0.098,0.0012,0.2579,0.0014,0.0703,0.0078,0.4165,0.0025,35,0.1728
failure_prediction_shield,combined_stress,3,0.4806,0.0214,0.1126,0.0129,0.0865,0.0052,0.3855,0.0035,0.0978,0.0012,0.2579,0.0014,0.0719,0.0079,0.4139,0.0028,35,0.1983
failure_prediction_shield,combined_stress,4,0.4918,0.0227,0.1129,0.0129,0.0846,0.005,0.3812,0.0029,0.0987,0.0014,0.2579,0.0014,0.0708,0.0078,0.4152,0.0024,35,0.1762
failure_prediction_shield,combined_stress,5,0.4748,0.0203,0.1147,0.0132,0.0857,0.0046,0.3845,0.0043,0.0976,0.0014,0.2579,0.0014,0.0703,0.0079,0.4161,0.0028,35,0.2146
failure_prediction_shield,combined_stress,6,0.4929,0.0219,0.1132,0.0133,0.0873,0.0045,0.3869,0.004,0.098,0.0012,0.2579,0.0014,0.0714,0.0076,0.414,0.0028,35,0.1803
side_effect_classifier_baseline,nominal,0,0.6078,0.0148,0.0598,0.0059,0.0684,0.0025,0.5088,0.004,0.0822,0.0016,0.2407,0.0008,0.0493,0.004,0.5184,0.0027,35,0.1333
